GENUS;SPECIES;SPECNO;FULL_SPECIES;JAAR;BRON;HER_COOR;AMERSX;AMERSY;HOKX;X_Round;Y_Round;X_Y_COOR;check
Bombus;lapidarius;596;Bombus_lapidarius;2003;3;3;19;363;1;19;363;19363;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;2;3;19;363;1;19;363;19363;0
Bombus;pratorum;602;Bombus_pratorum;2003;3;3;19;363;1;19;363;19363;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;19;363;1;19;363;19363;0
Andrena;cineraria;462;Andrena_cineraria;2005;2;3;19;366;1;19;366;19366;0
Andrena;florea;473;Andrena_florea;2003;3;3;19;372;1;19;372;19372;0
Apis;mellifera;587;Apis_mellifera;2003;3;3;19;372;1;19;372;19372;0
Bombus;hortorum;592;Bombus_hortorum;2003;3;3;19;372;1;19;372;19372;0
Bombus;pascuorum;600;Bombus_pascuorum;2003;3;3;19;372;1;19;372;19372;0
Bombus;pratorum;602;Bombus_pratorum;2003;3;3;19;372;1;19;372;19372;0
Bombus;ruderarius;603;Bombus_ruderarius;2003;3;3;19;372;1;19;372;19372;0
Bombus;terrestris;608;Bombus_terrestris;2003;3;3;19;372;1;19;372;19372;0
Apis;mellifera;587;Apis_mellifera;2010;3;W;19,899;374,384;0,001;19;374;19374;0
Bombus;lapidarius;596;Bombus_lapidarius;2010;3;W;19,899;374,384;0,001;19;374;19374;0
Bombus;pratorum;602;Bombus_pratorum;2010;3;W;19,899;374,384;0,001;19;374;19374;0
Andrena;flavipes;472;Andrena_flavipes;2004;3;3;19;376;1;19;376;19376;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;19;376;1;19;376;19376;0
Bombus;bohemicus;611;Bombus_bohemicus;2005;2;3;19;376;1;19;376;19376;0
Bombus;hortorum;592;Bombus_hortorum;2005;3;3;19;376;1;19;376;19376;0
Bombus;lapidarius;596;Bombus_lapidarius;2005;3;3;19;376;1;19;376;19376;0
Bombus;lucorum;597;Bombus_lucorum;2004;3;3;19;376;1;19;376;19376;0
Bombus;pascuorum;600;Bombus_pascuorum;2004;3;3;19;376;1;19;376;19376;0
Bombus;pratorum;602;Bombus_pratorum;2004;3;3;19;376;1;19;376;19376;0
Bombus;ruderarius;603;Bombus_ruderarius;2004;3;3;19;376;1;19;376;19376;0
Bombus;terrestris;608;Bombus_terrestris;2004;3;3;19;376;1;19;376;19376;0
Halictus;tumulorum;658;Halictus_tumulorum;2004;3;3;19;376;1;19;376;19376;0
Hylaeus;communis;628;Hylaeus_communis;2004;2;3;19;376;1;19;376;19376;0
Hylaeus;hyalinatus;636;Hylaeus_hyalinatus;2004;2;3;19;376;1;19;376;19376;0
Megachile;versicolor;753;Megachile_versicolor;2004;3;3;19;376;1;19;376;19376;0
Andrena;chrysosceles;461;Andrena_chrysosceles;2003;2;3;19;377;1;19;377;19377;0
Bombus;campestris;612;Bombus_campestris;2004;2;3;19;377;1;19;377;19377;0
Bombus;pratorum;602;Bombus_pratorum;2008;3;W;19,199;377,024;0,001;19;377;19377;0
Bombus;vestalis;616;Bombus_vestalis;2004;2;3;19;377;1;19;377;19377;0
Hylaeus;hyalinatus;636;Hylaeus_hyalinatus;2004;2;3;19;377;1;19;377;19377;0
Megachile;centuncularis;746;Megachile_centuncularis;2004;2;3;19;377;1;19;377;19377;0
Colletes;halophilus;620;Colletes_halophilus;2006;2;3;19;379;1;19;379;19379;0
Epeolus;tarsalis;538;Epeolus_tarsalis;2007;3;3;19;379;1;19;379;19379;0
Epeolus;variegatus;539;Epeolus_variegatus;2006;2;3;19;379;1;19;379;19379;0
Lasioglossum;sexstrigatum;695;Lasioglossum_sexstrigatum;2013;2;3;19;379;1;19;379;19379;0
Sphecodes;albilabris;699;Sphecodes_albilabris;2010;3;W;19,071;379,561;0,001;19;379;19379;0
Andrena;flavipes;472;Andrena_flavipes;2004;2;3;19;394;1;19;394;19394;0
Andrena;florea;473;Andrena_florea;2004;3;3;19;394;1;19;394;19394;0
Andrena;haemorrhoa;481;Andrena_haemorrhoa;2004;2;3;19;394;1;19;394;19394;0
Andrena;subopaca;513;Andrena_subopaca;2004;3;3;19;394;1;19;394;19394;0
Anthophora;plumipes;530;Anthophora_plumipes;2004;2;3;19;394;1;19;394;19394;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;19;394;1;19;394;19394;0
Bombus;lapidarius;596;Bombus_lapidarius;2004;3;3;19;394;1;19;394;19394;0
Bombus;pratorum;602;Bombus_pratorum;2004;3;3;19;394;1;19;394;19394;0
Bombus;sylvestris;615;Bombus_sylvestris;2004;3;3;19;394;1;19;394;19394;0
Bombus;terrestris;608;Bombus_terrestris;2004;3;3;19;394;1;19;394;19394;0
Colletes;hederae;804;Colletes_hederae;2010;3;W;19,892;394,811;0,001;19;394;19394;0
Halictus;tumulorum;658;Halictus_tumulorum;2004;2;3;19;394;1;19;394;19394;0
Nomada;flava;556;Nomada_flava;2004;2;3;19;394;1;19;394;19394;0
Nomada;signata;580;Nomada_signata;2004;2;3;19;394;1;19;394;19394;0
Osmia;claviventris;737;Osmia_claviventris;2004;2;3;19;394;1;19;394;19394;0
Andrena;bicolor;457;Andrena_bicolor;2010;3;W;19,772;395,542;0,001;19;395;19395;0
Bombus;lapidarius;596;Bombus_lapidarius;2006;2;3;19;395;1;19;395;19395;0
Bombus;terrestris;608;Bombus_terrestris;2006;2;3;19;395;1;19;395;19395;0
Coelioxys;inermis;730;Coelioxys_inermis;2010;3;W;19,763;395,529;0,001;19;395;19395;0
Dasypoda;hirtipes;774;Dasypoda_hirtipes;2006;2;3;19;395;1;19;395;19395;0
Lasioglossum;calceatum;672;Lasioglossum_calceatum;2006;2;3;19;395;1;19;395;19395;0
Apis;mellifera;587;Apis_mellifera;2004;3;3;20;363;1;20;363;20363;0
