"CELL_ID" "X_ArcGIS" "Y_ArcGIS" "ED_total_6Classes" "Suitability" "ED_total_ManNat" "NumClasses_VEG_LU" "Mean_Patch_areaKm2_Veg_LU" "LUVEG_1" "LUVEG_2" "LUVEG_3" "LUVEG_4" "LUVEG_5" "LUVEG_6" "LUVEG_7" "LUVEG_8" "LUVEG_20" "LUVEG_30" "LUVEG_60"
101400 101500 400500.000000006 0.03665 75 0.0145559566787004 12 0.192622514536117 0.0625 1.9375 0.875 1.75 1.0625 19.1875 3.375 0.875 55.375 2.125 6.3125
101401 101500 401499.999999996 0.03515 48.875 0.0114285714285714 11 0.11067023119854 0.25 2.375 0.9375 0.3125 1.8125 36.1875 9.875 1.9375 43.875 1.625 0.8125
101402 101500 402500.000000001 0.0211 40 0.0102283105022831 12 0.152166666666667 0.0625 0.125 0.25 0.125 0.4375 55.5 3.1875 0.75 35.3125 3.5 0.625
101403 101500 403500.000000006 0.01735 32.25 0.00818006430868167 11 0.423760416666667 0 0.5 0.375 0.25 0.3125 62.4375 4.3125 0.125 28.875 1.125 1.625
101404 101500 404499.999999996 0.02765 68.6875 0.0151658767772512 10 0.216725514069264 0 0.8125 0.375 1.3125 0.5 18.125 9.3125 0.6875 60.5625 8.25 0.0625
101405 101500 405500.000000001 0.02555 54.875 0.00894308943089431 10 0.138137784090909 0 2.3125 0.9375 0.375 1.3125 38.8125 2.9375 0.5625 44.75 0.9375 7.0625
101406 101500 406500.000000006 0.067 67.8125 0.0588613138686131 11 0.241954489087302 0 0.6875 4.75 1.8125 2.125 6.1875 16.3125 0.4375 10.375 2.3125 53.125
101407 101500 407499.999999996 0.0589 51.375 0.03003367003367 11 0.0714630282279439 0 2.1875 6.5625 1.5 4.0625 10.25 25.8125 0.5 23.1875 12.375 13.0625
101408 101500 408500.000000001 0.04365 64.875 0.0174914324880055 11 0.161083162287904 0 2.25 0.8125 3.375 3.875 11.5625 14.3125 0.125 53.125 8.0625 2.4375
101409 101500 409500.000000006 0.0589 60.4375 0.0362571196094386 11 0.126843580304929 0 5.4375 2.0625 13 12.5625 4.875 7.5625 0.375 30.8125 7.9375 15.3125
101410 101500 410499.999999997 0.08305 44.3125 0.0427055150884495 11 0.0572637559836326 0 4.625 8.1875 1.4375 3 18.5 19.5625 0.625 2.5625 8.4375 28.5
101411 101500 411500.000000001 0.06745 61.3125 0.0428193832599119 11 0.130172832565625 0 1.5625 7.25 3.6875 3.0625 10 17.8125 0.25 12.375 11.3125 28.3125
101412 101500 412500.000000006 0.0581 53.75 0.0388717948717949 11 0.086859862012987 0.0625 5.75 8.75 3.875 4.1875 3.125 22.9375 0.0625 0 32.125 15.875
101413 101500 413499.999999997 0.0086 94.3125 0.0412903225806452 6 0.3335 0 0.3125 0.125 0.1875 0 2.1875 3 0 0 94.1875 0
101414 101500 414500.000000001 0.00935 98.4375 0.0253744493392071 8 0.98059375 0 0.625 0.375 0 0.0625 0.6875 1 0.125 11.3125 85.8125 0
101415 101500 415500.000000006 0.01945 93.125 0.0116927260367097 9 0.863139900030525 0 1.1875 1.25 0.3125 0 2.6875 3.125 0.5 82.8125 6.375 1.75
101416 101500 416499.999999997 0.0139 85.4375 0.00675062972292191 10 0.239017857142857 0.125 0.625 0.125 2.4375 0.1875 12.6875 0.75 0.125 82.1875 0 0.75
101417 101500 417500.000000002 0.0166 92.5625 0.00758665794637018 11 0.313041666666667 0 0.3125 0.125 0.0625 0.3125 5.3125 1.5 0.375 87.0625 0.5 4.3125
101418 101500 418500.000000006 0.02705 90.875 0.0104183535762483 10 0.829725514069264 0 1.4375 1 0.3125 0.6875 4 2.875 0.4375 80.75 5.625 2.875
101419 101500 419499.999999997 0.0221 91.9375 0.00899470899470899 10 0.237640782828283 0 1.5625 0.4375 1.1875 1.9375 6 0.9375 0.0625 82.1875 1.8125 3.875
101420 101500 420500.000000002 0.05035 63.875 0.0269964664310954 12 0.0817183146304592 0.0625 2.375 2.9375 2.5625 2.5 15.3125 9.9375 0.25 33.6875 0.875 27.0625
101421 101500 421500.000000006 0.0539 75.5 0.0755 11 0.721649535928713 0 1.6875 3.3125 1.25 1.6875 3.0625 13.1875 0.1875 5.375 1.3125 68.25
101422 101500 422499.999999997 0.0623 64 0.0308910891089109 11 0.126941333466982 0 2.1875 5 0.6875 0.75 13.125 12.875 0.9375 26.3125 3.5625 31.6875
101423 101500 423500.000000002 0.02055 34.5 0.0119211102994887 9 0.23860834478022 2 0.5 1.5 0 0 61.5625 4.9375 0.5 14.1875 14.75 0.0625
101424 101500 424500.000000007 0.0558 80.4375 0.0693948126801153 11 0.45939548112706 1.1875 0.625 4.9375 0.25 0.5 2.75 10.75 0.25 0 41.375 23.8125
101425 101500 425499.999999997 0.06645 72.0625 0.0977181208053691 10 0.33984523855807 0 1.875 3.625 3.1875 3.3125 2 13.625 0.1875 0 6.1875 65.375
101426 101500 426500.000000002 0.0828 49.75 0.067363184079602 11 0.0776476862250276 0.0625 4.75 5.875 3.9375 4.0625 11.25 17.125 2.625 0 6.9375 43.0625
101427 101500 427500.000000007 0.06475 60.75 0.0288849557522124 12 0.18411457283913 0.3125 4.1875 2.8125 1.4375 3.0625 14.375 12.625 0.6875 29.375 1.9375 20.6875
101428 101500 428499.999999997 0.03765 55.1875 0.0135057034220532 11 0.247543402777778 0 0.4375 0.3125 0.0625 0.5 35.3125 3 0.5 35.875 7.9375 13.6875
101429 101500 429500.000000002 0.0542 60.1875 0.0290222984562607 12 0.104264304014843 0.125 1.875 2.6875 0.9375 1.3125 19.875 12.5 0.4375 31.25 9.9375 16.5
101430 101500 430500.000000007 0.06425 62.3125 0.0786271450858034 11 0.100082475678443 0 2.5625 2.3125 8.5 4.4375 1.625 18.125 0.3125 0.9375 8.625 52.4375
101431 101500 431499.999999997 0.07075 65.75 0.0699270072992701 10 0.214821653601849 0 1.4375 6.1875 0.5625 1.25 6.875 16.6875 0.625 0 2.5 60.9375
101432 101500 432500.000000002 0.07435 67.1875 0.0803047619047619 11 0.0814555154905172 0.75 1.1875 5.375 0.4375 1.5 3.6875 18.5 1.3125 0 4.125 58.5
101433 101500 433500.000000007 0.0611 71.875 0.0822958057395143 10 0.107315991300366 0 1.125 3.375 0.625 1.75 6.3125 13.4375 0.5 0 26.375 44.5
101434 101500 434499.999999997 0.0533 41.1875 0.0228571428571429 11 0.0766262655443646 0.5625 1.8125 3.875 1.875 1 36.5625 16.1875 0.125 2.8125 28.5 6.6875
101435 101500 435500.000000002 0.04735 22.5625 0.0221044663133989 11 0.128814958592133 0.0625 2.3125 1.375 0.0625 1.8125 55 11.625 0.1875 4.25 13.125 10.1875
101436 101500 436500.000000007 0.0837 52.9375 0.0666842800528402 10 0.0465694561838979 0 2.125 4.5625 1.75 5.1875 9.4375 20.5625 0.125 0 11.5625 43.9375
101437 101500 437499.999999998 0.06385 73.1875 0.096969696969697 9 0.0753990604805822 0 2 2.9375 1.875 2.3125 2.8125 14.5 0 0 24.1875 49.1875
101438 101500 438500.000000002 0.0699 64.75 0.0853805309734513 11 0.0664931206271864 0.125 1.4375 2.875 3.25 2.5 8.1875 16.625 0.1875 0 14.75 49.1875
